Day;Station;Absolute_level;Percentage_volume_stored;volume_stored;County;River_basin;Province
2025-01-13T00:00:00.000;Reservoir of la Baells (Cercs);615.02;57.9;63.32;Bergued…;Riu Llobregat;Barcelona
2025-01-13T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.56;34.8;27.86;SolsonŠs;Riu Cardener;Lleida 
2025-01-13T00:00:00.000;Reservoir of Riudecanyes;205.26;23.4;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-13T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.05;51.8;12.63;SolsonŠs;Riu Cardener;Lleida 
2025-01-13T00:00:00.000;Reservoir of Sau (Vilanova de Sau);385.77;13.1;21.73;Osona;Riu Ter;Barcelona
2025-01-13T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.16;9.7;1.18;Priorat;Riu Siurana;Tarragona
2025-01-13T00:00:00.000;Reservoir of Susqueda (Osor);316.77;37.2;86.73;La Selva;Riu Ter;Girona
2025-01-14T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.14;17.4;10.6;Alt Empord…;Riu Muga;Girona
2025-01-14T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.11;93.3;3.49;Alt Pened‚s;Riu Foix;Barcelona
2025-01-14T00:00:00.000;Reservoir of la Baells (Cercs);614.95;57.7;63.14;Bergued…;Riu Llobregat;Barcelona
2025-01-14T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.54;34.8;27.83;SolsonŠs;Riu Cardener;Lleida 
2025-01-14T00:00:00.000;Reservoir of Riudecanyes;205.26;23.4;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-14T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.05;51.8;12.63;SolsonŠs;Riu Cardener;Lleida 
2025-01-14T00:00:00.000;Reservoir of Sau (Vilanova de Sau);385.45;12.8;21.12;Osona;Riu Ter;Barcelona
2025-01-14T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.15;9.6;1.18;Priorat;Riu Siurana;Tarragona
2025-01-14T00:00:00.000;Reservoir of Susqueda (Osor);316.89;37.4;87.09;La Selva;Riu Ter;Girona
2025-01-15T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.12;17.3;10.58;Alt Empord…;Riu Muga;Girona
2025-01-15T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.1;93.2;3.48;Alt Pened‚s;Riu Foix;Barcelona
2025-01-15T00:00:00.000;Reservoir of la Baells (Cercs);614.87;57.5;62.96;Bergued…;Riu Llobregat;Barcelona
2025-01-15T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.51;34.7;27.79;SolsonŠs;Riu Cardener;Lleida 
2025-01-15T00:00:00.000;Reservoir of Riudecanyes;205.27;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-15T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.06;51.8;12.64;SolsonŠs;Riu Cardener;Lleida 
2025-01-15T00:00:00.000;Reservoir of Sau (Vilanova de Sau);385.12;12.4;20.51;Osona;Riu Ter;Barcelona
2025-01-15T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.15;9.6;1.18;Priorat;Riu Siurana;Tarragona
2025-01-15T00:00:00.000;Reservoir of Susqueda (Osor);317.05;37.6;87.53;La Selva;Riu Ter;Girona
2025-01-16T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.11;17.3;10.57;Alt Empord…;Riu Muga;Girona
2025-01-16T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.1;93;3.48;Alt Pened‚s;Riu Foix;Barcelona
2025-01-16T00:00:00.000;Reservoir of la Baells (Cercs);614.81;57.4;62.8;Bergued…;Riu Llobregat;Barcelona
2025-01-16T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.47;34.7;27.74;SolsonŠs;Riu Cardener;Lleida 
2025-01-16T00:00:00.000;Reservoir of Riudecanyes;205.27;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-16T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.06;51.8;12.64;SolsonŠs;Riu Cardener;Lleida 
2025-01-16T00:00:00.000;Reservoir of Sau (Vilanova de Sau);384.79;12;19.9;Osona;Riu Ter;Barcelona
2025-01-16T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.14;9.6;1.18;Priorat;Riu Siurana;Tarragona
2025-01-16T00:00:00.000;Reservoir of Susqueda (Osor);317.16;37.7;87.87;La Selva;Riu Ter;Girona
2025-01-17T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.11;17.3;10.57;Alt Empord…;Riu Muga;Girona
2025-01-17T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.09;92.9;3.47;Alt Pened‚s;Riu Foix;Barcelona
2025-01-17T00:00:00.000;Reservoir of la Baells (Cercs);614.75;57.2;62.64;Bergued…;Riu Llobregat;Barcelona
2025-01-17T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.43;34.6;27.7;SolsonŠs;Riu Cardener;Lleida 
2025-01-17T00:00:00.000;Reservoir of Riudecanyes;205.27;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-17T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.06;51.8;12.64;SolsonŠs;Riu Cardener;Lleida 
2025-01-17T00:00:00.000;Reservoir of Sau (Vilanova de Sau);384.47;11.7;19.3;Osona;Riu Ter;Barcelona
2025-01-17T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.14;9.6;1.18;Priorat;Riu Siurana;Tarragona
2025-01-17T00:00:00.000;Reservoir of Susqueda (Osor);317.34;37.9;88.38;La Selva;Riu Ter;Girona
2025-01-18T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.11;17.3;10.56;Alt Empord…;Riu Muga;Girona
2025-01-18T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.08;92.8;3.47;Alt Pened‚s;Riu Foix;Barcelona
2025-01-18T00:00:00.000;Reservoir of la Baells (Cercs);614.69;57.1;62.49;Bergued…;Riu Llobregat;Barcelona
2025-01-18T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.41;34.6;27.67;SolsonŠs;Riu Cardener;Lleida 
2025-01-18T00:00:00.000;Reservoir of Riudecanyes;205.28;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-18T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.06;51.8;12.64;SolsonŠs;Riu Cardener;Lleida 
2025-01-18T00:00:00.000;Reservoir of Sau (Vilanova de Sau);384.05;11.2;18.54;Osona;Riu Ter;Barcelona
2025-01-18T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.13;9.6;1.17;Priorat;Riu Siurana;Tarragona
2025-01-18T00:00:00.000;Reservoir of Susqueda (Osor);317.59;38.2;89.09;La Selva;Riu Ter;Girona
2025-01-19T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.08;17.2;10.54;Alt Empord…;Riu Muga;Girona
2025-01-19T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.07;92.7;3.47;Alt Pened‚s;Riu Foix;Barcelona
2025-01-19T00:00:00.000;Reservoir of la Baells (Cercs);614.63;57;62.34;Bergued…;Riu Llobregat;Barcelona
2025-01-19T00:00:00.000;Reservoir of la Llosa del Cavall (Nav…s);780.38;34.5;27.63;SolsonŠs;Riu Cardener;Lleida 
2025-01-19T00:00:00.000;Reservoir of Riudecanyes;205.28;23.5;1.25;Baix Camp;Riera Riudecanyes;Tarragona
2025-01-19T00:00:00.000;Reservoir of Sant Pon‡ (Clariana de Cardener);520.06;51.8;12.64;SolsonŠs;Riu Cardener;Lleida 
2025-01-19T00:00:00.000;Reservoir of Sau (Vilanova de Sau);383.63;10.8;17.79;Osona;Riu Ter;Barcelona
2025-01-19T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.13;9.6;1.17;Priorat;Riu Siurana;Tarragona
2025-01-19T00:00:00.000;Reservoir of Susqueda (Osor);317.82;38.5;89.75;La Selva;Riu Ter;Girona
