Day;Reservoir of Darnius Boadella (Darnius)_Absolute_level_Sum;Reservoir of la Llosa del Cavall (Nav…s)_Absolute_level_Sum;Reservoir of Siurana (Cornudella de Montsant)_Absolute_level_Sum;Reservoir of Susqueda (Osor)_Absolute_level_Sum;Reservoir of Sau (Vilanova de Sau)_Absolute_level_Sum;Reservoir of Foix (Castellet i la Gornal)_Absolute_level_Sum;Reservoir of la Baells (Cercs)_Absolute_level_Sum;Reservoir of Riudecanyes_Absolute_level_Sum;Reservoir of Sant Pon‡ (Clariana de Cardener)_Absolute_level_Sum
2025-02-06T00:00:00.000;135.87;779.77;460.04;319.02;378.79;99.85;613.82;205.33;520.44
2025-02-07T00:00:00.000;135.84;779.74;460.04;319.01;378.58;99.84;613.8;205.33;520.48
2025-02-08T00:00:00.000;135.87;779.73;460.03;319.03;378.5;99.92;613.79;205.34;520.52
2025-02-09T00:00:00.000;135.88;779.71;460.03;319.04;378.49;99.94;613.79;205.34;520.57
2025-02-10T00:00:00.000;135.88;779.68;460.03;319.03;378.41;99.94;613.79;205.35;520.61
2025-02-11T00:00:00.000;135.88;779.65;460.02;319.04;378.26;99.94;613.77;205.35;520.66
2025-02-12T00:00:00.000;135.88;779.62;460.02;319.05;378.11;99.94;613.76;205.36;520.7
2025-02-13T00:00:00.000;135.88;779.59;460.02;319.05;377.97;100.04;613.74;205.38;520.75
2025-02-14T00:00:00.000;135.87;779.58;460.02;319.02;377.9;100.05;613.73;205.38;520.78
2025-02-15T00:00:00.000;135.87;779.57;460.02;318.94;377.95;100.04;613.71;205.38;520.8
2025-02-16T00:00:00.000;135.85;779.56;460.02;318.86;377.97;100.04;613.7;205.39;520.82
2025-02-17T00:00:00.000;135.84;779.56;460.01;318.78;378;100.03;613.68;205.39;520.83
2025-02-18T00:00:00.000;135.84;779.54;460;318.71;378.02;100.03;613.65;205.39;520.83
2025-02-19T00:00:00.000;135.83;779.53;460;318.6;378.04;100.02;613.61;205.4;520.83
2025-02-20T00:00:00.000;135.83;779.52;460;318.57;378.05;100.02;613.58;205.4;520.82
2025-02-21T00:00:00.000;135.8;779.51;459.99;318.49;378.07;100.02;613.55;205.4;520.82
2025-02-22T00:00:00.000;135.8;779.52;459.99;318.4;378.14;100.03;613.52;205.41;520.82
2025-02-23T00:00:00.000;135.8;779.56;459.98;318.33;378.31;100.11;613.49;205.42;520.89
2025-02-24T00:00:00.000;135.8;779.58;459.98;318.26;378.46;100.12;613.45;205.42;520.92
2025-02-25T00:00:00.000;135.8;779.59;459.97;318.17;378.6;100.1;613.42;205.42;520.94
2025-02-26T00:00:00.000;135.8;779.6;459.96;318.09;378.8;100.09;613.39;205.42;520.96
2025-02-27T00:00:00.000;135.8;779.61;459.95;318.01;378.97;100.09;613.36;205.42;520.97
2025-02-28T00:00:00.000;135.8;779.61;459.95;317.92;379.09;100.09;613.32;205.42;520.97
2025-03-01T00:00:00.000;135.8;779.64;459.94;317.85;379.24;100.08;613.29;205.43;520.98
2025-03-02T00:00:00.000;135.79;779.76;459.93;317.76;379.4;100.08;613.27;205.43;521.03
2025-03-03T00:00:00.000;135.79;779.88;459.93;317.69;379.53;100.07;613.26;205.44;521.1
2025-03-04T00:00:00.000;135.79;779.97;459.92;317.69;379.78;100.04;613.26;205.44;521.15
2025-03-05T00:00:00.000;135.79;780.04;459.91;317.67;380.02;100.02;613.27;205.44;521.18
2025-03-06T00:00:00.000;135.79;780.1;459.91;317.61;380.28;100.01;613.28;205.45;521.2
2025-03-07T00:00:00.000;135.8;780.16;459.91;317.59;380.52;100.03;613.3;205.46;521.22
2025-03-08T00:00:00.000;136.63;780.26;459.93;318.03;381.33;100.09;613.74;205.47;521.25
2025-03-09T00:00:00.000;140.26;781.21;460.19;319.69;386.62;100.29;616.35;205.62;521.4
2025-03-10T00:00:00.000;142.3;782.42;460.55;320.4;392.94;100.42;618.7;205.93;521.64
2025-03-11T00:00:00.000;142.78;782.98;460.74;320.26;395.53;100.44;619.6;206.09;521.82
2025-03-12T00:00:00.000;143.05;783.39;460.93;320.15;396.46;100.45;620.17;206.23;521.97
2025-03-13T00:00:00.000;143.49;783.71;461.12;320.15;397.49;100.45;620.62;206.34;522.09
2025-03-14T00:00:00.000;143.81;784.05;461.83;320.15;398.5;100.51;621.07;207.04;522.25
