ID_GRAFIC,Provincia,Estadillo,Poligon,MAPX,MAPY,Parcela
1223,17,2870,2467566,2.890614776,41.7386385,172870
1224,17,2872,2467516,2.915135359,41.73840703,172872
1225,17,2873,2467518,2.927136722,41.73856838,172873
1226,17,2874,2250114,2.939294497,41.73871056,172874
1227,17,2876,2467833,2.842305314,41.72981847,172876
1228,17,2879,2252334,2.902837276,41.72770588,172879
1229,17,2881,2251049,2.939339092,41.72965846,172881
1230,17,2884,2467823,2.854625923,41.72091769,172884
1231,17,2885,2467744,2.891054513,41.72037254,172885
1232,17,2886,2467745,2.902763826,41.72059921,172886
1233,17,2887,2467743,2.915207105,41.72042892,172887
1234,17,2888,2467779,2.819354151,41.71170742,172888
1235,17,2890,2254106,2.891165659,41.71150063,172890
1236,17,2892,2467797,2.818634293,41.70266314,172892
1237,17,2894,2255666,2.867190228,41.70292767,172894
1238,17,2895,2469900,2.684645242,42.14394867,172895
1239,17,2911,2185905,2.866114643,42.08097031,172911
1240,17,2912,2189661,2.926293744,42.05414015,172912
1241,17,2930,2223371,2.890998588,41.87417576,172930
1242,17,2937,2241225,2.529269801,41.80105454,172937
1243,17,3000,2128869,1.79569984,42.43549438,173000
1244,17,3001,2453725,1.746420657,42.44362054,173001
1245,17,3004,2101460,1.976673167,42.49119781,173004
1246,17,3005,825141,1.987742038,42.48921578,173005
1247,17,3007,832929,1.939849791,42.44369974,173007
1248,17,3008,824992,1.843865317,42.43568415,173008
1249,17,3010,824905,1.917264557,42.42776442,173010
1250,17,3011,648520,1.954036059,42.40078205,173011
1251,17,3012,1414139,1.917603811,42.3910777,173012
1252,17,3013,1414567,1.941833131,42.39157409,173013
1253,17,3016,663586,2.257343043,42.42116919,173016
1254,17,3020,2134871,2.379243391,42.38577114,173020
1255,17,3023,2138832,2.161233543,42.35723032,173023
1256,17,3024,2483437,2.331000787,42.35846369,173024
1257,17,3025,2136590,2.343079194,42.35883973,173025
1258,17,3026,2457417,2.185412807,42.34853373,173026
1259,17,3029,2135555,2.209902978,42.33968105,173029
1260,17,3030,2141425,2.331175132,42.34087587,173030
1261,17,3030,2141425,2.330619895,42.34057543,173030
1262,17,3031,2142406,2.476775693,42.34119143,173031
1263,17,3033,2464449,2.707219542,42.40508091,173033
1264,17,3035,2451700,2.598353005,42.34155567,173035
1265,17,3040,2446049,2.974622531,42.41471015,173040
1266,17,3043,15235267,2.938126695,42.38742599,173043
1267,17,3050,15235267,2.913866459,42.35134997,173050
1268,17,3052,15235267,2.938073772,42.34236848,173052
1269,17,3053,2140823,2.986706672,42.34241145,173053
1270,17,3055,1405435,2.137356494,42.31225709,173055
1271,17,3057,2457663,2.222383709,42.33069727,173057
1272,17,3058,2142794,2.403966604,42.33165886,173058
1273,17,3059,2145219,2.367789179,42.3226121,173059
1274,17,3060,2144667,2.39185478,42.3226522,173060
1275,17,3062,2458929,2.440662964,42.32304477,173062
1276,17,3063,2145614,2.246189479,42.31309624,173063
1277,17,3065,2146668,2.355783739,42.31336805,173065
1278,17,3070,2150121,2.355952554,42.29561791,173070
1279,17,3071,2149324,2.368185614,42.28661676,173071
1280,17,3073,2154017,2.234968097,42.2677571,173073
1281,17,3074,2161242,2.284241634,42.22315222,173074
1282,17,3076,2166511,2.272059923,42.19607478,173076
1283,17,3077,2463353,2.417456221,42.18761076,173077
1284,17,3078,2168429,2.453917562,42.18793422,173078
1285,17,3079,2170031,2.187612469,42.17743219,173079
1286,17,3081,2146880,2.562023662,42.31456639,173081
1287,17,3082,2447269,2.804775181,42.31529064,173082
1288,17,3085,2160280,2.526168043,42.23332295,173085
1289,17,3087,2163604,2.490005671,42.21514629,173087
1290,17,3089,2162504,2.611170724,42.215621,173089
1291,17,3092,2168362,2.744550521,42.18902158,173092
1292,17,3093,2443685,2.769001283,42.1891815,173093
1293,17,3096,2171533,2.719960855,42.17096946,173096
1294,17,3097,2170391,2.732624263,42.17113477,173097
1295,17,3099,2145828,3.059614787,42.32439345,173099
1296,17,3100,2447290,2.816692235,42.31505813,173100
1297,17,3101,2147119,2.93827898,42.30631695,173101
1298,17,3102,2150095,2.98674041,42.29738064,173102
1299,17,3108,2159359,2.81715332,42.2437566,173108
1300,17,3108,2159359,2.817142656,42.24325223,173108
1301,17,3109,2442194,2.926195219,42.24327518,173109
1302,17,3113,2163724,2.914038427,42.21605866,173113
