name;addresses_road_name;addresses_neighborhood_name;addresses_district_name;addresses_zip_code;url;imatge;geometry/type;geometry/coordinates_0;geometry/coordinates_1;coord0;coord01
Washingtònies de la carretera de Miramar;Carretera de Miramar,2;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/washingtonies-de-la-carretera-de-miramar_99400454981.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610200839020108-03-96_1.optimized.a6a87a70.jpg;Point;430694.8571;4580029.418;43.06948571;45.800294179999995
Arbreda de la  Plaça del Nord;" Plaça del Nord,7";la Vila de Gràcia;Gràcia;08024;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/arbreda-de-la-placa-del-nord_99400454991.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610031159440049-06-93_Tipuana-tipu_6-7732.optimized.4e778d27.jpg;Point;429422.1085;4584305.447;42.942210849999995;45.84305447
Pi pinyer de la Travessera de les Corts;Travessera de les Corts,275;les Corts;Les Corts;08014;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pi-pinyer-de-la-travessera-de-les-corts_99400454994.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610161459320001-04-93_11.optimized.751739b7.jpg;Point;427590.1708;4581985.248;42.75901708;45.819852479999994
Pins canaris del Colúlegi de les Teresianes;Ronda del General Mitre,81;les Tres Torres;Sarrià-Sant Gervasi;08017;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pins-canaris-del-col-legi-de-les-teresianes_99400454999.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061328410072-05-94_11.optimized.48a13f4a.jpg;Point;427557.6478;4583465.6;42.75576478;45.834655999999995
Pi  Josep de Vallcarca;Passatge d'Isabel,1;Vallcarca i els Penitents;Gràcia;08023;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pi-josep-de-vallcarca_99400455000.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610051117520141-06-03_1.optimized.f39f78a4.jpg;Point;428684.2315;4585033.149;42.86842315;45.85033149
Pi blanc de Can Ponsic;Carrer d'Enric Giménez,14;Sarrià;Sarrià-Sant Gervasi;08034;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pi-blanc-de-can-ponsic_99400455005.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061407350155-05-12_1.optimized.d2953e34.jpg;Point;426332.2226;4583141.483;42.63322226;45.83141483
Freixe de fulla estreta del carrer Tàrrega;Carrer de Tàrrega,41;el Bon Pastor;Sant Andreu;08030;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/freixe-de-fulla-estreta-del-carrer-tarrega_99400455007.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610111244350029-09-93_1.optimized.7e565180.jpg;Point;433666.0216;4587647.021;43.36660216;45.876470209999994
Freixes de la  Plaça Galúla Placídia;" Plaça de Galúla Plac¡dia,16";la Vila de Gràcia;Gràcia;08006;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/freixes-de-la-placa-gal-la-placidia_99400455009.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610031306200009-06-93_1.optimized.9c9d12b5.jpg;Point;429189.735;4583425.81;42.9189735;45.83425809999999
Cirerer de Santa Llúcia del parc del Castell de l'Oreneta;Carrer de Conrad Xalabarder,2;Pedralbes;Les Corts;08034;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/cirerer-de-santa-llucia-del-parc-del-castell-de-l-oreneta_99400455025.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610060951380115-05-96_1.optimized.423febb0.jpg;Point;425510.5327;4583326.651;42.55105327;45.833266509999994
Teix dels jardins de la Granja Vella de Martí-Codolar;Avinguda de Martí-Codolar,12;la Vall d'Hebron;Horta-Guinardó;08035;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/teix-dels-jardins-de-la-granja-vella-de-marti-codolar_99400454944.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610121200060082-07-94_1.optimized.b5707bba.jpg;Point;428914.9389;4586677.23;42.89149389;45.8667723
