dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2025-03-13T00:00:00.000;Embassament de la Baells (Cercs);620.62;71.8;78.59
2025-03-13T00:00:00.000;Embassament de Darnius Boadella (Darnius);143.49;34;20.8
2025-03-13T00:00:00.000;Embassament de la Llosa del Cavall (Navès);783.71;40.1;32.08
2025-03-13T00:00:00.000;Embassament de Riudecanyes;206.34;27;1.43
2025-03-13T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);461.12;11.1;1.35
2025-03-13T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.45;99.2;3.71
2025-03-13T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);522.09;60.1;14.65
2025-03-13T00:00:00.000;Embassament de Susqueda (Osor);320.15;41.5;96.68
2025-03-13T00:00:00.000;Embassament de Sau (Vilanova de Sau);397.49;29.5;48.69
2025-03-12T00:00:00.000;Embassament de la Llosa del Cavall (Navès);783.39;39.5;31.63
2025-03-12T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.45;99.1;3.71
2025-03-12T00:00:00.000;Embassament de Riudecanyes;206.23;26.6;1.41
2025-03-12T00:00:00.000;Embassament de la Baells (Cercs);620.17;70.6;77.29
2025-03-12T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);460.93;10.8;1.32
2025-03-12T00:00:00.000;Embassament de Sau (Vilanova de Sau);396.46;27.7;45.85
2025-03-12T00:00:00.000;Embassament de Susqueda (Osor);320.15;41.5;96.67
2025-03-12T00:00:00.000;Embassament de Darnius Boadella (Darnius);143.05;32.8;20.05
2025-03-12T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.97;59.6;14.53
2025-03-11T00:00:00.000;Embassament de Sau (Vilanova de Sau);395.53;25.7;42.42
2025-03-11T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);460.74;10.5;1.28
2025-03-11T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.82;59;14.38
2025-03-11T00:00:00.000;Embassament de Darnius Boadella (Darnius);142.78;32.1;19.6
2025-03-11T00:00:00.000;Embassament de Susqueda (Osor);320.26;41.6;97.01
2025-03-11T00:00:00.000;Embassament de Riudecanyes;206.09;26.1;1.39
2025-03-11T00:00:00.000;Embassament de la Llosa del Cavall (Navès);782.98;38.8;31.07
2025-03-11T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.44;99;3.7
2025-03-11T00:00:00.000;Embassament de la Baells (Cercs);619.6;69.1;75.65
2025-03-10T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);460.55;10.2;1.25
2025-03-10T00:00:00.000;Embassament de Susqueda (Osor);320.4;41.8;97.47
2025-03-10T00:00:00.000;Embassament de la Llosa del Cavall (Navès);782.42;37.9;30.29
2025-03-10T00:00:00.000;Embassament de la Baells (Cercs);618.7;66.8;73.1
2025-03-10T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.42;98.7;3.69
2025-03-10T00:00:00.000;Embassament de Darnius Boadella (Darnius);142.3;30.8;18.81
2025-03-10T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.64;58.2;14.19
2025-03-10T00:00:00.000;Embassament de Riudecanyes;205.93;25.6;1.36
2025-03-10T00:00:00.000;Embassament de Sau (Vilanova de Sau);392.94;22.4;37.06
2025-03-09T00:00:00.000;Embassament de la Llosa del Cavall (Navès);781.21;35.9;28.69
2025-03-09T00:00:00.000;Embassament de Susqueda (Osor);319.69;40.9;95.3
