dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2024-05-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.37;67.5;2.52
2024-05-23T00:00:00.000;Embassament de la Baells (Cercs);607.72;42.8;46.82
2024-05-23T00:00:00.000;Embassament de Darnius Boadella (Darnius);137.5;19.9;12.13
2024-05-22T00:00:00.000;Embassament de la Baells (Cercs);607.62;42.6;46.61
2024-05-22T00:00:00.000;Embassament de Darnius Boadella (Darnius);137.04;19;11.6
2024-05-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.4;67.9;2.54
2024-05-21T00:00:00.000;Embassament de la Baells (Cercs);607.52;42.4;46.42
2024-05-21T00:00:00.000;Embassament de Darnius Boadella (Darnius);136.37;17.8;10.85
2024-05-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.44;68.4;2.56
2024-05-20T00:00:00.000;Embassament de Darnius Boadella (Darnius);136.19;17.4;10.66
2024-05-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.45;68.5;2.56
2024-05-20T00:00:00.000;Embassament de la Baells (Cercs);607.42;42.2;46.23
2024-05-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.45;68.6;2.57
2024-05-19T00:00:00.000;Embassament de la Baells (Cercs);607.31;42;46.01
2024-05-19T00:00:00.000;Embassament de Darnius Boadella (Darnius);136.12;17.3;10.58
2024-05-18T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.45;68.5;2.56
2024-05-18T00:00:00.000;Embassament de Darnius Boadella (Darnius);136.07;17.2;10.53
2024-05-18T00:00:00.000;Embassament de la Baells (Cercs);607.21;41.9;45.8
2024-05-17T00:00:00.000;Embassament de la Baells (Cercs);607.1;41.7;45.58
2024-05-17T00:00:00.000;Embassament de Darnius Boadella (Darnius);136.02;17.1;10.48
2024-05-17T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.44;68.5;2.56
2024-05-16T00:00:00.000;Embassament de la Baells (Cercs);606.98;41.4;45.36
2024-05-16T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.29;66.4;2.48
2024-05-16T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.98;17.1;10.42
2024-05-15T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.93;17;10.38
2024-05-15T00:00:00.000;Embassament de la Baells (Cercs);606.86;41.2;45.11
2024-05-15T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.19;65.1;2.43
2024-05-14T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.12;64.1;2.4
2024-05-14T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.89;16.9;10.33
2024-05-14T00:00:00.000;Embassament de la Baells (Cercs);606.7;40.9;44.8
2024-05-13T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.1;63.8;2.39
2024-05-13T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.86;16.9;10.3
2024-05-13T00:00:00.000;Embassament de la Baells (Cercs);606.56;40.7;44.53
2024-05-12T00:00:00.000;Embassament de la Baells (Cercs);606.43;40.5;44.28
2024-05-12T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.84;16.8;10.28
2024-05-12T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.11;64;2.39
2024-05-11T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.83;16.8;10.27
2024-05-11T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.11;64;2.39
2024-05-11T00:00:00.000;Embassament de la Baells (Cercs);606.27;40.2;43.98
2024-05-10T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.7;10.23
2024-05-10T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.12;64.1;2.4
2024-05-10T00:00:00.000;Embassament de la Baells (Cercs);606.08;39.9;43.62
2024-05-09T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.75;16.7;10.18
2024-05-09T00:00:00.000;Embassament de la Baells (Cercs);605.85;39.5;43.18
2024-05-09T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.13;64.3;2.41
2024-05-08T00:00:00.000;Embassament de la Baells (Cercs);605.58;39;42.67
2024-05-08T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.15;64.5;2.41
2024-05-08T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.69;16.6;10.12
2024-05-07T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.18;64.9;2.43
2024-05-07T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.63;16.5;10.06
2024-05-07T00:00:00.000;Embassament de la Baells (Cercs);605.26;38.4;42.07
2024-05-06T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.21;65.3;2.44
2024-05-06T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.56;16.3;9.98
2024-05-06T00:00:00.000;Embassament de la Baells (Cercs);604.91;37.9;41.43
2024-05-05T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.47;16.2;9.89
2024-05-05T00:00:00.000;Embassament de la Baells (Cercs);604.53;37.2;40.75
2024-05-05T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.22;65.4;2.44
2024-05-04T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.22;65.4;2.45
2024-05-04T00:00:00.000;Embassament de la Baells (Cercs);604.13;36.6;40.03
2024-05-04T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.33;16;9.75
2024-05-03T00:00:00.000;Embassament de la Baells (Cercs);603.62;35.8;39.14
2024-05-03T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.11;15.6;9.52
2024-05-03T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.23;65.5;2.45
2024-05-02T00:00:00.000;Embassament de la Baells (Cercs);602.94;34.7;37.95
2024-05-02T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.24;65.7;2.46
2024-05-02T00:00:00.000;Embassament de Darnius Boadella (Darnius);134.74;15;9.16
2024-05-01T00:00:00.000;Embassament de Darnius Boadella (Darnius);134.16;14.1;8.6
2024-05-01T00:00:00.000;Embassament de la Baells (Cercs);601.82;33;36.08
2024-05-01T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.24;65.7;2.46
2024-04-30T00:00:00.000;Embassament de Darnius Boadella (Darnius);133.35;12.9;7.86
2024-04-30T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.21;65.4;2.44
2024-04-30T00:00:00.000;Embassament de la Baells (Cercs);599.37;29.4;32.23
2024-04-29T00:00:00.000;Embassament de la Baells (Cercs);596.83;26.1;28.56
2024-04-29T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.95;61.9;2.31
2024-04-29T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.46;11.6;7.08
2024-04-28T00:00:00.000;Embassament de la Baells (Cercs);596.43;25.6;28
2024-04-28T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27
2024-04-28T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.28;11.3;6.93
2024-04-27T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.28;11.3;6.93
2024-04-27T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27
2024-04-27T00:00:00.000;Embassament de la Baells (Cercs);596.39;25.5;27.95
2024-04-26T00:00:00.000;Embassament de la Baells (Cercs);596.4;25.6;27.97
2024-04-26T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.27;11.3;6.93
2024-04-26T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27
2024-04-25T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.28;11.3;6.93
2024-04-25T00:00:00.000;Embassament de la Baells (Cercs);596.41;25.6;27.98
2024-04-25T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.87;60.7;2.27
2024-04-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.86;60.7;2.27
